"Aegyptos (Aegyptus) Aegyptī {f.}","Egypt",1,Noun
"aemulus aemulī {m.}","rival, competitor",1,Noun
"aequābilis aequābile","equal, uniform, consistent",1,Adjective
"aequitās aequitātis {f.}","equity, fairness, justice",1,Noun
"aequō aequāre aequāvī aequātus","to make equal, equalize",1,Verb
"aerārium aerāriī {n.}","treasury",1,Noun
"aestimātiō aestimātiōnis {f.}","valuation, assessment, worth",1,Noun
"Aetōlus (Aetōlius) Aetōla Aetōlum","Aetolian, of Aetolia",1,Adjective
"afficiō afficere affēcī affectus","to affect, influence, treat",1,Verb
"affingō affingere affīnxī affictum","to attach, add, invent",1,Verb
"affirmō affirmāre affirmāvī affirmātus","to affirm, assert, declare",1,Verb
"āgnōscō āgnōscere āgnōvī agnitus","to recognize, acknowledge",1,Verb
"ālārius ālāria ālārium {or} ālāris ālāre","of the wing, auxiliary",1,Adjective
"albulus albula albulum","whitish",1,Adjective
"albus alba album","white",1,Adjective
"Alexandria Alexandriae {f.}","Alexandria",1,Noun
"aliēnātiō aliēnātiōnis {f.}","alienation, transfer of ownership",1,Noun
"aliquantum aliquantī {n.}","a certain amount, a good deal",1,Noun
"alō alere aluī altus","to nourish, support, maintain",1,Verb
"Alpēs Alpium {f. pl.}","the Alps",1,Noun
"ambō ambae ambō","both",1,Numeral
"āmēns āmentis","mad, insane, frantic",1,Adjective
"amiciō amicīre amicuī (amixī) amictus","to clothe, wrap, cover",1,Verb
"amnis amnis {m.}","river, stream",1,Noun
"amō amāre amāvī amātus","to love",1,Verb
"amplificō amplificāre amplificāvī amplificātus","to enlarge, amplify, increase",1,Verb
"anceps ancipitis","two-headed, double, uncertain",1,Adjective
"anteā","before, formerly, previously",1,Adverb
"antecēdō antecēdere antecessī antecessum","to go before, precede, surpass",1,Verb
"antecellō antecellere","to excel, surpass",1,Verb
"antecessiō antecessiōnis {f.}","a going before, precedence",1,Noun
"anteferō anteferre antetulī antelātus","to prefer, place before",1,Verb
"antequam","before",1,Conjunction
"Antiochus Antiochī {m.}","Antiochus (a name of several kings)",1,Noun
"aperiō aperīre aperuī apertus","to open, uncover, reveal",1,Verb
"appetītiō (adpetītiō) appetītiōnis {f.}","desire, appetite, striving for",1,Noun
"appetītus (adpetītus) appetītūs {m.}","desire, appetite",1,Noun
"approbō approbāre approbāvī approbātum","to approve, commend, assent to",1,Verb
"aqua aquae {f.}","water",1,Noun
"aquātor aquātōris {m.}","water-carrier",1,Noun
"aquila aquilae {f.}","eagle; the standard of a Roman legion",1,Noun
"Aquītānia Aquītāniae {f.}","Aquitania (a region of Gaul)",1,Noun
"aquor aquārī aquātus sum","to get water",1,Verb
"Arabs Arabis {m.}","an Arab",1,Noun
"arātrum arātrī {n.}","plow",1,Noun
"arbitrium arbitriī {n.}","judgment, decision, will",1,Noun
"ārdeō ārdēre ārsī ārsum","to burn, be on fire, blaze",1,Verb
"Ariobarzānēs Ariobarzānis {m.}","Ariobarzanes (a king of Cappadocia)",1,Noun
"Aristōn Aristōnis {m.}","Aristo (a Stoic philosopher)",1,Noun
"Aristotelēs Aristotelis {or} Aristotelī {m.}","Aristotle (a Greek philosopher)",1,Noun
"arrogāns arrogantis","arrogant, proud, insolent",1,Adjective
"ars artis {f.}","art, skill, craft",1,Noun
"ascrībō (adscrībō) ascrībere ascrīpsī ascrīptum","to enroll, assign, attribute",1,Verb
"aspectus aspectūs {m.}","sight, look, appearance",1,Noun
"assiduitās assiduitātis {f.}","diligence, persistence, constant attendance",1,Noun
"assūmō (adsūmō) assūmere assūmpsī assūmptum","to take up, adopt, assume",1,Verb
"āter atra atrum","black, dark, gloomy",1,Adjective
"Athēnae Athēnārum {f. pl.}","Athens",1,Noun
"attentus attenta attentum","attentive, careful",1,Adjective
"attingō attingere attigī attāctus","to touch, reach, border on",1,Verb
"audāciter {or} audācter","boldly, daringly",1,Adverb
"audāx audācis","bold, daring, reckless",1,Adjective
"auferō auferre abstulī ablātus","to take away, carry off, remove",1,Verb
"Aulus Aulī {m.}","Aulus (a Roman first name)",1,Noun
"Aurēlius Aurēliī {m.}","Aurelius (a Roman name)",1,Noun
"aureus (aurātus) aurea aureum","golden, of gold",1,Adjective
"aurifer aurifera auriferum","gold-bearing",1,Adjective
"aveō (haveō) avēre","to desire, long for, be well",1,Verb
"āvertō āvertere āvertī āversus","to turn away, avert, divert",1,Verb
"bacillum bacillī {n.}","a small staff, wand",1,Noun
"bellicōsus bellicōsa bellicōsum","warlike, fond of war",1,Adjective
"bellō bellāre bellāvī bellātus","to wage war, fight",1,Verb
"bēlua bēluae {f.}","beast, monster",1,Noun
"benevolentia benevolentiae {f.}","goodwill, kindness, benevolence",1,Noun
"bibō bibere bibī","to drink",1,Verb
"biennium bienniī {n.}","a period of two years",1,Noun
"bīnī bīnae bīna","two each, two by two",1,Numeral
"Bōius Bōia Bōium","Boian, of the Boii (a Gallic tribe)",1,Adjective
"bonitās bonitātis {f.}","goodness, kindness, excellence",1,Noun
Latin Word,English Definition(s),Frequency,Part of Speech
"brevis breve","short, brief",1,Adjective
"Britannus Britanna Britannum","British, a Briton",1,Adjective
"caeles caelitis {m.}","a god, divinity, celestial being",1,Noun
"caelum caelī {n.}","sky, heaven",1,Noun
"Calēnus Calēnī {m.}","Calenus (a Roman name)",1,Noun
"campus campī {m.}","plain, field",1,Noun
"Capitōlium Capitōliī {n.}","the Capitoline Hill, the Capitol",1,Noun
"captō captāre captāvī captātus","to try to catch, strive after, chase",1,Verb
"careō carēre caruī caritus","to lack, be without (+ ablative)",1,Verb
"cārus cāra cārum","dear, precious, expensive",1,Adjective
"castellum castellī {n.}","fort, stronghold, fortress",1,Noun
"Casticus Casticī {m.}","Casticus (a chief of the Sequani)",1,Noun
"castīgō castīgāre castīgāvī castīgātus","to punish, chastise, correct",1,Verb
"Catamantāloedēs Catamantāloedis {m.}","Catamantaloedes (a king of the Sequani)",1,Noun
"Catilīna Catilīnae {m.}","Catiline (a Roman politician)",1,Noun
"cēdō cēdere cessī cessum","to go, yield, withdraw",1,Verb
"celebrātiō celebrātiōnis {f.}","celebration, large gathering",1,Noun
"celebrō celebrāre celebrāvī celebrātus","to celebrate, frequent, praise",1,Verb
"celeritās celeritātis {f.}","speed, swiftness",1,Noun
"celeriter celerius celerrimē","quickly, swifly",1,Adverb
"Celtae Celtārum {m. pl.}","the Celts",1,Noun
"cēnsor cēnsōris {m.}","censor (a Roman magistrate)",1,Noun
"cibāria cibāriōrum {n. pl.}","food, rations, provisions",1,Noun
"Cicerō Cicerōnis {m.}","Cicero (a Roman orator and statesman)",1,Noun
"cīvīlis cīvīle","civil, of a citizen",1,Adjective
"clāmor clāmōris {m.}","shout, cry, noise",1,Noun
"clēmēns clēmentis","mild, gentle, merciful",1,Adjective
"clēmentia clēmentiae {f.}","mercy, clemency, kindness",1,Noun
"cliēns clientis {m.}","client, dependent, retainer",1,Noun
"coemō coemere coēmī coēmptum","to buy up",1,Verb
"cōgitātiō cōgitātiōnis {f.}","thought, reflection, consideration",1,Noun
"cohaereō cohaerēre cohaesī cohaesum","to cling together, be connected",1,Verb
"cohibeō cohibēre cohibuī cohibitus","to hold together, restrain, confine",1,Verb
"coitus (coetus) coitūs {m.}","meeting, assembly, union",1,Noun
"collēgium collēgiī {n.}","college, guild, corporation",1,Noun
"colligō colligere collēgī collēctus","to collect, gather, assemble",1,Verb
"colōrō colōrāre colōrāvī colōrātus","to color",1,Verb
"columbus columbī {m.}","pigeon, dove",1,Noun
"comātus comāta comātum","long-haired",1,Adjective
"combūrō combūrere combussī combustum","to burn up, consume by fire",1,Verb
"comedō comedere (comēsse) comēdī comēsum","to eat up, consume",1,Verb
"comitiālis comitiāle","of the comitia (assembly)",1,Adjective
"comitium comitiī {n.}","the Comitium (a place in the Roman Forum)",1,Noun
"commeātus commeātūs {m.}","leave of absence, supplies, provisions",1,Noun
"commemorābilis commemorābile","memorable, noteworthy",1,Adjective
"commeō commeāre commeāvī commeātus","to go back and forth, visit frequently",1,Verb
"commisceō commiscēre commiscuī commixtus ({or} commistus)","to mix together, mingle",1,Verb
"committō committere commīsī commissus","to entrust, commit, begin (a battle)",1,Verb
"commoditās commoditātis {f.}","convenience, advantage",1,Noun
"commodum commodī {n.}","advantage, convenience, interest",1,Noun
"commoror commorārī commorātus sum","to delay, linger, stay",1,Verb
"commūnicō commūnicāre commūnicāvī commūnicātus","to share, communicate, impart",1,Verb
"commūniō commūnīre commūniī {/} commūnīvī commūnītus","to fortify strongly, secure",1,Verb
"commūtō commūtāre commūtāvī commūtātus","to change, alter, exchange",1,Verb
"comparātiō comparātiōnis {f.}","comparison, preparation",1,Noun
"compellō compellere compulī compulsus","to drive together, force, compel",1,Verb
"comperiō comperīre comperī compertus","to find out, discover, learn",1,Verb
"compleō complēre complēvī complētus","to fill up, complete, man (a ship)",1,Verb
"complūrēs complūra ({gen.} complūrium)","several, many",1,Adjective
"cōnāta cōnātōrum {n. pl.}","attempt, undertaking",1,Noun
"concipiō concipere concēpī conceptum","to take, conceive, imagine",1,Verb
"conclāmō conclāmāre conclāmāvī conclāmātus","to shout together, cry out",1,Verb
"concursus concursūs {m.}","a running together, crowd, attack",1,Noun
"cōnfestim","immediately, at once",1,Adverb
"cōnfīdō cōnfīdere cōnfīsus sum","to trust, rely on (+ dative)",1,Verb
"cōnfiteor cōnfitērī cōnfessus sum","to confess, admit, acknowledge",1,Verb
"cōnflīgō cōnflīgere cōnflīxī cōnflīctus","to dash together, fight, contend",1,Verb
"cōnflō cōnflāre cōnflāvī cōnflātus","to blow up, kindle, arouse",1,Verb
"cōnfōrmō cōnfōrmāre cōnfōrmāvī cōnfōrmātus","to shape, form, fashion",1,Verb
"congressiō congressiōnis {f.}","meeting, encounter, conference",1,Noun
"coniūnx coniugis {f. (or m.)}","spouse, wife",1,Noun
"coniūrātiō coniūrātiōnis {f.}","conspiracy, plot",1,Noun
"conquiēscō conquiēscere conquiēvī conquiētum","to rest, repose, find relief",1,Verb
"conquīrō conquīrere conquīsīvī conquīsītus","to seek for, search out, collect",1,Verb
"cōnsanguineus (cōnsangineus) cōnsanguinea cōnsanguineum","related by blood; (as a noun) kinsman",1,Adjective
"cōnscīscō cōnscīscere cōnscīvī (cōnsciī) cōnscītum","to resolve upon, decree; inflict on oneself",1,Verb
"cōnsēnsus cōnsēnsūs {m.}","agreement, consent, unanimity",1,Noun
"cōnsentāneus cōnsentānea cōnsentāneum","agreeing, consistent, suitable",1,Adjective
"cōnsentiō cōnsentīre cōnsēnsī cōnsēnsus","to agree, consent, plot",1,Verb
"cōnsequēns cōnsequentis","following, consequent; (as a noun) a consequence",1,Adjective
"cōnsequor cōnsequī cōnsecūtus sum","to follow, overtake, attain",1,Verb
"cōnsīdō cōnsīdere cōnsēdī cōnsessus","to sit down, settle, encamp",1,Verb
"cōnsilior cōnsiliārī cōnsiliātus sum","to take counsel, consult",1,Verb
"cōnsōlātiō cōnsōlātiōnis {f.}","consolation, comfort",1,Noun
"cōnsōlor cōnsōlārī cōnsōlātus sum ({or} cōnsōlō cōnsōlāre)","to console, comfort",1,Verb
"cōnstō cōnstāre cōnstitī cōnstātus","to stand firm; consist of; it is agreed",1,Verb
"cōnsuēscō cōnsuēscere cōnsuēvī cōnsuētus","to become accustomed",1,Verb
"cōnsuētūdō cōnsuētūdinis {f.}","custom, habit, practice",1,Noun
"cōnsūmō cōnsūmere cōnsūmpsī cōnsūmptus","to consume, use up, spend",1,Verb
"cōnsurgō cōnsurgere cōnsurrēxī cōnsurrēctus","to rise up together, stand up",1,Verb
"contemptiō contemptiōnis {f.}","contempt, scorn, disdain",1,Noun
"conticēscō conticēscere conticuī","to become silent",1,Verb
"continenter","continuously, without interruption",1,Adverb
"continuō","immediately, at once",1,Adverb
"contrahō contrahere contrāxī contractus","to draw together, collect, contract",1,Verb
"contrārius contrāria contrārium","opposite, contrary, opposed",1,Adjective
"convellō convellere convellī convulsus","to tear away, shatter, convulse",1,Verb
"convenientia convenientiae {f.}","agreement, harmony",1,Noun
"convertō convertere convertī conversus","to turn, change, convert",1,Verb
"Corinthus Corinthī {f.} ({or} Corinthia Corinthiae {f.})","Corinth",1,Noun
"corōnō corōnāre corōnāvī corōnātus","to crown, wreathe, surround",1,Verb
"corripiō corripere corripuī correptum","to seize, snatch up, rebuke",1,Verb
"cotīdiē ({or} cottīdiē {or} quotīdiē)","daily, every day",1,Adverb
"Cotta Cottae {m.}","Cotta (a Roman name)",1,Noun
"cottīdiānus (cotīdiānus) cottīdiāna cottīdiānum","daily",1,Adjective
"Cratippus Cratippī {m.}","Cratippus (a Peripatetic philosopher)",1,Noun
"cremō cremāre cremāvī cremātus","to burn, cremate",1,Verb
"creō creāre creāvī creātus","to create, make, elect",1,Verb
"crīmen crīminis {n.}","accusation, charge, crime",1,Noun
"crīminor crīminārī crīminātus sum","to accuse, charge",1,Verb
"crūdēlis crūdēle","cruel, harsh, merciless",1,Adjective
"crūdēlitās crūdēlitātis {f.}","cruelty, harshness",1,Noun
"cruentō cruentāre cruentāvī cruentātus","to make bloody, stain with blood",1,Verb
"cubīle cubīlis {n.}","bed, couch",1,Noun
"cultūra cultūrae {f.}","cultivation, agriculture; culture",1,Noun
"cūnctor cūnctārī cūnctātus sum","to delay, hesitate, linger",1,Verb
"cupidē","eagerly, passionately",1,Adverb
"cupidus cupida cupidum","desirous, eager, greedy for (+ genitive)",1,Adjective
"cūria cūriae {f.}","senate-house, curia",1,Noun
"cūrō cūrāre cūrāvī cūrātus","to care for, look after, attend to",1,Verb
"curriculum curriculī {n.}","race, course, career",1,Noun
"currō currere cucurrī cursus","to run",1,Verb
"custōdia custōdiae {f.}","custody, guard, protection",1,Noun
"custōs custōdis {m.}","guard, guardian",1,Noun
"Cȳzicēnus Cȳzicēna Cȳzicēnum","of Cyzicus",1,Adjective
"damnō damnāre damnāvī damnātus","to condemn, sentence",1,Verb
"dēbilitō dēbilitāre dēbilitāvī dēbilitātus","to weaken, disable",1,Verb
"Decembris Decembre","of December",1,Adjective
"dēcerpō dēcerpere dēcerpsī dēcerptus","to pluck off, gather",1,Verb
"dēcertō dēcertāre dēcertāvī dēcertātus","to fight to the finish, contend",1,Verb
"decet decēre decuit","it is fitting, it is proper, it becomes",1,Verb
"decima ({or} decuma) decimae {f.}","a tenth part, tithe",1,Noun
"dēcipiō dēcipere dēcēpī dēceptus","to deceive, cheat, trick",1,Verb
"dēclīnō dēclīnāre dēclīnāvī dēclīnātus","to turn aside, avoid, decline",1,Verb
"dēcoctor dēcoctōris {m.}","a bankrupt person, spendthrift",1,Noun
"dēcurrō dēcurrere dēcucurrī (dēcurrī) dēcursus","to run down, hasten down",1,Verb
"decus decoris {n.}","honor, glory, ornament",1,Noun
"dēditiō dēditiōnis {f.}","surrender",1,Noun
"dēdō dēdere dēdidī dēditus","to give up, surrender",1,Verb
"dēficiō dēficere dēfēcī dēfectus","to fail, be lacking, revolt from",1,Verb
"dēfīnītiō dēfīnītiōnis {f.}","definition, explanation",1,Noun
"dēgō dēgere dēgī","to spend, pass (time)",1,Verb
"dēiciō dēicere dēiēcī dēiectum","to throw down, cast down, dislodge",1,Verb
"dēlectō dēlectāre dēlectāvī dēlectātus","to please, delight, charm",1,Verb
"dēligō dēligere dēlēgī dēlēctus","to choose, select, pick out",1,Verb
"Dēmētrius Dēmētriī {m.}","Demetrius (a name)",1,Noun
"dēmīror dēmīrārī dēmīrātus sum","to wonder at greatly",1,Verb
"dēmittō dēmittere dēmīsī dēmissum","to send down, let down, lower",1,Verb
"Dēmosthenēs Dēmosthenis {m.}","Demosthenes (a Greek orator)",1,Noun
"dēpellō dēpellere dēpulī dēpulsus","to drive away, expel, ward off",1,Verb
"dēposcō dēposcere dēpoposcī","to demand, require",1,Verb
"dēprāvō dēprāvāre dēprāvāvī dēprāvātus","to pervert, corrupt, distort",1,Verb
"dēserō dēserere dēseruī dēsertus","to desert, abandon, forsake",1,Verb
"dēsīderium dēsīderiī {n.}","longing, desire, grief",1,Noun
"dēspērātiō dēspērātiōnis {f.}","despair, hopelessness",1,Noun
"dēspiciō dēspicere dēspexī dēspectum","to look down on, despise",1,Verb
"dēspondeō dēspondēre dēspondī dēspōnsum","to promise in marriage, betroth",1,Verb
"deus deī {m.}","god",1,Noun
"dēvorō dēvorāre dēvorāvī dēvorātus","to devour, swallow up",1,Verb
"dictātor dictātōris {m.}","dictator",1,Noun
"dictiō dictiōnis {f.}","a saying, speaking, delivery",1,Noun
"diffutūtus diffutūta diffutūtum","debauched, worn out with debauchery",1,Adjective
"dīgredior dīgredī dīgressus sum","to go away, depart, deviate",1,Verb
"dīligentia dīligentiae {f.}","diligence, care, attentiveness",1,Noun
"dīligō dīligere dīlēxī dīlēctus","to love, esteem, cherish",1,Verb
"discessus discessūs {m.}","departure, separation",1,Noun
"discidium discidiī {n.}","separation, disagreement, divorce",1,Noun
"discipulus discipulī {m.}","student, pupil, disciple",1,Noun
"discrīmen discrīminis {n.}","crisis, danger, distinction",1,Noun
"disertus diserta disertum","eloquent, skilled in speaking",1,Adjective
"disiungō disiungere disiūnxī disiūnctus","to separate, disjoin, unyoke",1,Verb
"disputātor disputātōris {m.}","disputant, debater",1,Noun
"disserō disserere disseruī dissertus","to discuss, argue, discourse",1,Verb
"dissideō dissidēre dissēdī dissessus","to disagree, be at variance",1,Verb
"dissimilitūdō dissimilitūdinis {f.}","unlikeness, difference",1,Noun
"dissimulō dissimulāre dissimulāvī dissimulātus","to conceal, disguise, pretend not to",1,Verb
"distinctus distincta distinctum","distinct, separate, decorated",1,Adjective
"distribuō distribuere distribuī distribūtus","to distribute, divide, assign",1,Verb
"diūturnitās diūturnitātis {f.}","long duration, length of time",1,Noun
"diūturnus diūturna diūturnum","long-lasting, of long duration",1,Adjective
"dīves dīvitis","rich, wealthy",1,Adjective
"Dīvitiācus Dīvitiācī {m.}","Divitiacus (a chief of the Aedui)",1,Noun
"doctor doctōris {m.}","teacher",1,Noun
"doctus docta doctum","learned, skilled, taught",1,Adjective
"domicilium domiciliī {n.}","dwelling, home, residence",1,Noun
"domina dominae {f.}","mistress, lady of the house",1,Noun
"domō domāre domuī domitus","to tame, subdue, conquer",1,Verb
"ducentiēs ({or} ducentiēns)","two hundred times",1,Adverb
"ductus ductūs {m.}","leadership, command, conduct",1,Noun
"dulcis dulce","sweet, pleasant, agreeable",1,Adjective
"Dumnorīx Dumnorīgis {m.}","Dumnorix (a chief of the Aedui)",1,Noun
"duodecim {;} duodecimus duodecima duodecimum","twelve; twelfth",1,Numeral
"duplex duplicis","double, twofold",1,Adjective
"dupliciter","doubly, in two ways",1,Adverb
"ēditus ēdita ēditum","high, elevated, lofty",1,Adjective
"effēminō effēmināre effēmināvī effēminātus","to make effeminate, weaken",1,Verb
"effēminātus effēmināta effēminātum","effeminate, womanish",1,Adjective
"effundō effundere effūdī effūsus","to pour out, shed, let loose",1,Verb
"egēns egentis","needy, poor, in want of",1,Adjective
"egeō egēre eguī","to need, lack, want (+ ablative or genitive)",1,Verb
"egestās egestātis {f.}","poverty, need, want",1,Noun
"ēiciō ēicere ēiēcī ēiectus","to throw out, cast out, expel",1,Verb
"ēligō ēligere ēlēgī ēlēctus","to pick out, choose, select",1,Verb
"elluor (hēlluor) elluārī elluātus sum","to squander, waste",1,Verb
"ēloquentia ēloquentiae {f.}","eloquence",1,Noun
"ēluō ēluere ēluī ēlūtus","to wash out, wash away",1,Verb
"ēmentior ēmentīrī ēmentītus sum","to lie, fabricate, invent",1,Verb
"emō emere ēmī ēmptus","to buy, purchase",1,Verb
"ēnarrō ēnarrāre ēnarrāvī ēnarrātum","to explain in detail, relate",1,Verb
"ēnūntiō ēnūntiāre ēnūntiāvī ēnūntiātus","to announce, declare, report",1,Verb
"eōdem","to the same place",1,Adverb
"Eōus Eōa Eōum","of the dawn, eastern",1,Adjective
"ergā","towards, in relation to (+ accusative)",1,Preposition
"Ērillus (Hērillus) Ērillī {m.}","Herillus (a Stoic philosopher)",1,Noun
"ērudītulus ērudītula ērudītulum {; dim. of ērudītus}","somewhat learned",1,Adjective
"ēscendō ēscendere ēscendī ēscēnsum","to climb up, ascend, mount",1,Verb
"exaequō exaequāre exaequāvī exaequātus","to make equal, equalize",1,Verb
"exagitō exagitāre exagitāvī exagitātus","to harass, stir up, criticize",1,Verb
"exanimō exanimāre exanimāvī exanimātus","to kill, deprive of life; exhaust",1,Verb
"excēdō excēdere excessī excessus","to go out, depart, withdraw",1,Verb
"excellēns excellentis","excellent, outstanding, distinguished",1,Adjective
"excipiō excipere excēpī exceptus","to take out, except; receive, welcome",1,Verb
"excitō excitāre excitāvī excitātus","to rouse, stir up, excite",1,Verb
"excruciō excruciāre excruciāvī excruciātus","to torture, torment",1,Verb
"excursiō excursiōnis {f.}","a running out, raid, sortie",1,Noun
"excūsātiō excūsātiōnis {f.}","excuse, apology",1,Noun
"exercitātiō exercitātiōnis {f.}","exercise, practice, training",1,Noun
"exilium (exsilium) exiliī {n.}","exile, banishment",1,Noun
"exīstimātiō exīstimātiōnis {f.}","opinion, judgment, reputation",1,Noun
"exōrnō exōrnāre exōrnāvī exōrnātus","to adorn, equip, furnish",1,Verb
"exōrsus exōrsūs {m.}","beginning, commencement",1,Noun
"expatrō expatrāre expatrāvī expatrātus","to squander, lavish",1,Verb
"expedītus expedīta expedītum","unimpeded, lightly armed, ready",1,Adjective
"expellō expellere expulī expulsus","to drive out, expel",1,Verb
"expetō expetīre expetiī {/} expetīvī expetītus","to seek after, desire, demand",1,Verb
"expīlō expīlāre expīlāvī expīlātus","to plunder, rob",1,Verb
"expiō expiāre expiāvī expiātus","to atone for, expiate",1,Verb
"explicō explicāre explicāvī {/} explicuī explicātus {/} explicitus","to unfold, explain, deploy",1,Verb
"explōdō explōdere explōsī explōsum","to drive off by clapping, reject, hiss off",1,Verb
"expōnō expōnere exposuī expositus","to set forth, explain, expose",1,Verb
"exportō exportāre exportāvī exportātus","to carry out, export",1,Verb
"expugnātiō expugnātiōnis {f.}","a taking by storm, storming",1,Noun
Latin Word,English Definition(s),Frequency,Part of Speech
"exsequor (exequor) exsequī exsecūtus sum","to follow up, pursue, execute",1,Verb
"exsistō exsīstere exstitī","to emerge, appear, exist",1,Verb
"exstinguō exstinguere exstīnxī exstīnctus","to extinguish, put out, destroy",1,Verb
"exsuscitō (exuscitō) exsuscitāre exsuscitāvī exsuscitātus","to awaken, arouse, stir up",1,Verb
"extenuō extenuāre extenuāvī extenuātum","to make thin, diminish, lessen",1,Verb
"extollō extollere","to lift up, raise, extol",1,Verb
"extrā","outside, beyond (+ accusative)",1,Preposition
"extrēmus extrēma extrēmum","outermost, last, final",1,Adjective
"exūrō exūrere exussī exūstus","to burn up, scorch",1,Verb
"Fadius Fadiī {m.}","Fadius (a Roman name)",1,Noun
"fāma fāmae {f.}","rumor, report, reputation",1,Noun
"familiāris familiāre","of the family, friendly, intimate",1,Adjective
"familiāris familiāris {m. or f.}","close friend",1,Noun
"familiāritās familiāritātis {f.}","familiarity, intimacy, friendship",1,Noun
"fānum fānī {n.}","shrine, temple",1,Noun
"fāstī fāstōrum {m. pl.}","the calendar, annals",1,Noun
"fātum fātī {n. or} fātus fātī {m.}","fate, destiny",1,Noun
"faveō favēre fāvī fautus","to favor, support (+ dative)",1,Verb
"fax facis {f.}","torch, firebrand",1,Noun
"fēlīcitās fēlīcitātis {f.}","happiness, good fortune, success",1,Noun
"ferrum ferrī {n.}","iron, sword",1,Noun
"fertilis fertile","fertile, productive, fruitful",1,Adjective
"festīnō festīnāre festīnāvī festīnātus","to hurry, hasten",1,Verb
"fīctus fīcta fīctum","feigned, false, fictitious",1,Adjective
"fīlia fīliae {f.}","daughter",1,Noun
"flāgitō flāgitāre flāgitāvī flāgitātum","to demand urgently, importune",1,Verb
"fleō flēre flēvī flētus","to weep, cry for, lament",1,Verb
"flōreō flōrēre flōruī","to bloom, flourish, prosper",1,Verb
"fluō fluere flūxī fluxus","to flow",1,Verb
"fodiō fodere fōdī fossum","to dig",1,Verb
"foedus foeda foedum","foul, hideous, disgraceful",1,Adjective
"fōns fontis {m.}","spring, fountain, source",1,Noun
"Formiānus Formiāna Formiānum","of Formiae (a town in Latium)",1,Adjective
"formīdō formīdinis {f.}","fear, terror, dread",1,Noun
"fortitūdō fortitūdinis {f.}","bravery, courage, strength",1,Noun
"fortūnātus fortūnāta fortūnātum","fortunate, lucky, happy",1,Adjective
"foveō fovēre fōvī fōtus","to cherish, keep warm, support",1,Verb
"frangō frangere frēgī frāctus","to break, shatter",1,Verb
"fruor fruī frūctus sum","to enjoy, profit from (+ ablative)",1,Verb
"Fūfius Fūfiī {m.}","Fufius (a Roman name)",1,Noun
"furiōsus furiōsa furiōsum","mad, furious, raging",1,Adjective
"Fūrius Fūriī {m.}","Furius (a Roman name)",1,Noun
"futūrum futūrī {n. or} futūra futūrōrum {n. pl.}","the future",1,Noun
"futūrus futūra futūrum","about to be, future",1,Adjective
"Gallicus Gallica Gallicum","Gallic, of Gaul",1,Adjective
"gemellus gemella gemellum","twin",1,Adjective
"gemitus gemitūs {m.}","groan, sigh, lamentation",1,Noun
"generātim","by kinds, by tribes, generally",1,Adverb
"Germānia Germāniae {f.}","Germany",1,Noun
"gestiō gestīre","to be eager, desire passionately, exult",1,Verb
"glōrior glōriārī glōriātus sum","to boast, glory in, pride oneself on",1,Verb
"Gnaeus Gnaeī {m.}","Gnaeus (a Roman first name)",1,Noun
"Gracchus Gracchī {m.}","Gracchus (a Roman name)",1,Noun
"gradior gradī gressus sum","to step, walk, advance",1,Verb
"grātulātiō grātulātiōnis {f.}","congratulation, rejoicing",1,Noun
"grātus grāta grātum","pleasing, agreeable, grateful",1,Adjective
"hauriō haurīre hausī haustus","to drain, draw up, drink",1,Verb
"hercle {or} hercule","by Hercules! (an oath)",1,Interjection
"Hibērus Hibēra Hibērum","Spanish, Iberian",1,Adjective
"Hispāniēnsis Hispāniēnse","of Spain, Spanish",1,Adjective
"hodiē","today",1,Adverb
"horribilis horribile","horrible, dreadful, terrible",1,Adjective
"hortus hortī {m.}","garden",1,Noun
"hospes hospitis {m.}","host, guest, stranger",1,Noun
"hostīlis hostīle","hostile, of the enemy",1,Adjective
"hūc","to this place, hither",1,Adverb
"hūiusmodī","of this kind, such",1,Adjective
"humilitās humilitātis {f.}","humility, lowness, baseness",1,Noun
"Hyrcānus (Hyrcānius) Hyrcāna Hyrcānum","Hyrcanian",1,Adjective
"iamiam","at this very moment, right now",1,Adverb
"idcircō {or} iccircō","for that reason, therefore",1,Adverb
"identidem","repeatedly, again and again",1,Adverb
"ideō","for that reason, therefore",1,Adverb
"ignis ignis {m.}","fire",1,Noun
"īgnōminia īgnōminiae {f.}","disgrace, dishonor, ignominy",1,Noun
"īgnōrō īgnōrāre īgnōrāvī īgnōrātus","to not know, be ignorant of",1,Verb
"Ilerda Ilerdae {f.}","Ilerda (a town in Spain)",1,Noun
"īlia īlium {n. pl. or} īle īlis {n.}","groin, flank",1,Noun
"importō importāre importāvī importātus","to bring in, import",1,Verb
"imbēcillitās imbēcillitātis {f.}","weakness, feebleness",1,Noun
"imitātor imitātōris {m.}","imitator",1,Noun
"imitor imitārī imitātus sum","to imitate, copy",1,Verb
"immānitās immānitātis {f.}","savagery, cruelty, monstrousness",1,Noun
"immineō imminēre","to overhang, threaten, be imminent",1,Verb
"impendeō impendēre","to hang over, threaten",1,Verb
"imperītus imperīta imperītum","unskilled, inexperienced in (+ genitive)",1,Adjective
"impertiō impertīre {or} impertior impertīrī","to share, impart, bestow",1,Verb
"implicō implicāre implicāvī (implicuī) implicitus","to enfold, involve, entangle",1,Verb
"implōrō implōrāre implōrāvī implōrātus","to implore, entreat, beseech",1,Verb
